"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_retrieval_acc__MAX"
"11","0.7458333333333333","0.7458333333333333","0.7458333333333333","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7510555555555556","0.7510555555555556","0.7510555555555556","0.7558888888888889","0.7558888888888889","0.7558888888888889"
"12","0.7472222222222222","0.7472222222222222","0.7472222222222222","0.7619444444444444","0.7619444444444444","0.7619444444444444","0.7563333333333333","0.7563333333333333","0.7563333333333333","0.7613888888888889","0.7613888888888889","0.7613888888888889"
"13","0.7449444444444444","0.7449444444444444","0.7449444444444444","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.7578333333333334","0.7578333333333334","0.7578333333333334","0.7586111111111111","0.7586111111111111","0.7586111111111111"
"14","0.7510555555555556","0.7510555555555556","0.7510555555555556","0.7646111111111111","0.7646111111111111","0.7646111111111111","0.758","0.758","0.758","0.7607777777777778","0.7607777777777778","0.7607777777777778"
"15","0.7437222222222222","0.7437222222222222","0.7437222222222222","0.7632222222222222","0.7632222222222222","0.7632222222222222","0.7585555555555555","0.7585555555555555","0.7585555555555555","0.7643888888888889","0.7643888888888889","0.7643888888888889"
"16","0.7504444444444445","0.7504444444444445","0.7504444444444445","0.7659444444444444","0.7659444444444444","0.7659444444444444","0.7576111111111111","0.7576111111111111","0.7576111111111111","0.7651111111111111","0.7651111111111111","0.7651111111111111"
"17","0.7457777777777778","0.7457777777777778","0.7457777777777778","0.7677777777777778","0.7677777777777778","0.7677777777777778","0.7571666666666667","0.7571666666666667","0.7571666666666667","0.7660555555555556","0.7660555555555556","0.7660555555555556"
"18","0.748","0.748","0.748","0.7656111111111111","0.7656111111111111","0.7656111111111111","0.7569444444444444","0.7569444444444444","0.7569444444444444","0.7689444444444444","0.7689444444444444","0.7689444444444444"
"19","0.7475","0.7475","0.7475","0.7673888888888889","0.7673888888888889","0.7673888888888889","0.7597222222222222","0.7597222222222222","0.7597222222222222","0.7662222222222222","0.7662222222222222","0.7662222222222222"
"20","0.7495555555555555","0.7495555555555555","0.7495555555555555","0.7683333333333333","0.7683333333333333","0.7683333333333333","","","","0.7666666666666667","0.7666666666666667","0.7666666666666667"
"21","0.7491111111111111","0.7491111111111111","0.7491111111111111","0.7678888888888888","0.7678888888888888","0.7678888888888888","","","","0.7681111111111111","0.7681111111111111","0.7681111111111111"
"22","","","","0.7691666666666667","0.7691666666666667","0.7691666666666667","","","","0.768","0.768","0.768"
"23","","","","0.7701666666666667","0.7701666666666667","0.7701666666666667","","","","0.7673888888888889","0.7673888888888889","0.7673888888888889"
"24","","","","0.7697222222222222","0.7697222222222222","0.7697222222222222","","","","0.7709444444444444","0.7709444444444444","0.7709444444444444"
"25","","","","","","","","","","0.7692222222222223","0.7692222222222223","0.7692222222222223"
