"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_retrieval_acc__MAX"
"1","0.6897222222222222","0.6897222222222222","0.6897222222222222","0.6228888888888889","0.6228888888888889","0.6228888888888889","0.6891111111111111","0.6891111111111111","0.6891111111111111","0.6154444444444445","0.6154444444444445","0.6154444444444445"
"2","0.7043888888888888","0.7043888888888888","0.7043888888888888","0.6812222222222222","0.6812222222222222","0.6812222222222222","0.7035","0.7035","0.7035","0.6755","0.6755","0.6755"
"3","0.7136666666666667","0.7136666666666667","0.7136666666666667","0.7054444444444444","0.7054444444444444","0.7054444444444444","0.7130555555555556","0.7130555555555556","0.7130555555555556","0.6980555555555555","0.6980555555555555","0.6980555555555555"
"4","0.7220555555555556","0.7220555555555556","0.7220555555555556","0.7186111111111111","0.7186111111111111","0.7186111111111111","0.7229444444444444","0.7229444444444444","0.7229444444444444","0.7101666666666666","0.7101666666666666","0.7101666666666666"
"5","0.7303888888888889","0.7303888888888889","0.7303888888888889","0.7311111111111112","0.7311111111111112","0.7311111111111112","0.7312777777777778","0.7312777777777778","0.7312777777777778","0.7281111111111112","0.7281111111111112","0.7281111111111112"
"6","0.7351111111111112","0.7351111111111112","0.7351111111111112","0.7366666666666667","0.7366666666666667","0.7366666666666667","0.7385555555555555","0.7385555555555555","0.7385555555555555","0.7328888888888889","0.7328888888888889","0.7328888888888889"
"7","0.7376666666666667","0.7376666666666667","0.7376666666666667","0.74","0.74","0.74","0.7424444444444445","0.7424444444444445","0.7424444444444445","0.7429444444444444","0.7429444444444444","0.7429444444444444"
"8","0.7451666666666666","0.7451666666666666","0.7451666666666666","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.7481666666666666","0.7481666666666666","0.7481666666666666","0.7458888888888889","0.7458888888888889","0.7458888888888889"
"9","0.7461666666666666","0.7461666666666666","0.7461666666666666","0.7506666666666667","0.7506666666666667","0.7506666666666667","0.751","0.751","0.751","0.7517222222222222","0.7517222222222222","0.7517222222222222"
"10","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7549444444444444","0.7549444444444444","0.7549444444444444","0.7515","0.7515","0.7515","0.7503333333333333","0.7503333333333333","0.7503333333333333"
