"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_retrieval_acc__MAX"
"11","","","","0.6625833333333333","0.6625833333333333","0.6625833333333333","0.7556111111111111","0.7556111111111111","0.7556111111111111","0.66425","0.66425","0.66425","0.7451111111111111","0.7451111111111111","0.7451111111111111","0.6704027777777778","0.6704027777777778","0.6704027777777778","0.6305","0.6305","0.6305","0.7342777777777778","0.7342777777777778","0.7342777777777778","0.6618611111111111","0.6618611111111111","0.6618611111111111"
"12","","","","0.6815277777777777","0.6815277777777777","0.6815277777777777","0.7685416666666667","0.7685416666666667","0.7685416666666667","0.6808055555555556","0.6808055555555556","0.6808055555555556","0.7636666666666667","0.7636666666666667","0.7636666666666667","0.6854305555555555","0.6854305555555555","0.6854305555555555","0.6458194444444444","0.6458194444444444","0.6458194444444444","","","","0.6780694444444444","0.6780694444444444","0.6780694444444444"
"13","","","","0.6970555555555555","0.6970555555555555","0.6970555555555555","0.7870555555555555","0.7870555555555555","0.7870555555555555","0.6960555555555555","0.6960555555555555","0.6960555555555555","0.7800555555555555","0.7800555555555555","0.7800555555555555","0.7060555555555555","0.7060555555555555","0.7060555555555555","0.6593611111111111","0.6593611111111111","0.6593611111111111","","","","0.6968611111111112","0.6968611111111112","0.6968611111111112"
"14","","","","0.7143333333333334","0.7143333333333334","0.7143333333333334","0.8019444444444445","0.8019444444444445","0.8019444444444445","0.7113194444444444","0.7113194444444444","0.7113194444444444","","","","0.7197222222222223","0.7197222222222223","0.7197222222222223","0.6760416666666667","0.6760416666666667","0.6760416666666667","","","","0.7111805555555556","0.7111805555555556","0.7111805555555556"
"15","","","","0.7283472222222223","0.7283472222222223","0.7283472222222223","","","","0.7263611111111111","0.7263611111111111","0.7263611111111111","","","","0.7316388888888888","0.7316388888888888","0.7316388888888888","0.6924722222222223","0.6924722222222223","0.6924722222222223","","","","0.7273611111111111","0.7273611111111111","0.7273611111111111"
"16","","","","0.7400277777777777","0.7400277777777777","0.7400277777777777","","","","0.7407638888888889","0.7407638888888889","0.7407638888888889","","","","0.7450694444444445","0.7450694444444445","0.7450694444444445","0.7034583333333333","0.7034583333333333","0.7034583333333333","","","","0.7388055555555556","0.7388055555555556","0.7388055555555556"
"17","","","","0.75525","0.75525","0.75525","","","","","","","","","","0.7559583333333333","0.7559583333333333","0.7559583333333333","0.7161805555555556","0.7161805555555556","0.7161805555555556","","","","0.7510972222222222","0.7510972222222222","0.7510972222222222"
"18","","","","0.7644861111111111","0.7644861111111111","0.7644861111111111","","","","","","","","","","0.7692638888888889","0.7692638888888889","0.7692638888888889","0.7316805555555556","0.7316805555555556","0.7316805555555556","","","","0.7640833333333333","0.7640833333333333","0.7640833333333333"
"19","","","","0.7759444444444444","0.7759444444444444","0.7759444444444444","","","","","","","","","","0.778375","0.778375","0.778375","","","","","","","","",""
"20","","","","0.7873888888888889","0.7873888888888889","0.7873888888888889","","","","","","","","","","","","","","","","","","","","",""
