"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_retrieval_acc__MAX"
"1","0.6230694444444445","0.6230694444444445","0.6230694444444445","0.23497222222222222","0.23497222222222222","0.23497222222222222","0.6443194444444444","0.6443194444444444","0.6443194444444444","0.2526527777777778","0.2526527777777778","0.2526527777777778","0.23573611111111112","0.23573611111111112","0.23573611111111112","0.6055555555555555","0.6055555555555555","0.6055555555555555","0.22461111111111112","0.22461111111111112","0.22461111111111112","0.6332638888888888","0.6332638888888888","0.6332638888888888","0.2501388888888889","0.2501388888888889","0.2501388888888889"
"2","0.6380416666666666","0.6380416666666666","0.6380416666666666","0.49609722222222224","0.49609722222222224","0.49609722222222224","0.6181388888888889","0.6181388888888889","0.6181388888888889","0.48977777777777776","0.48977777777777776","0.48977777777777776","0.4683888888888889","0.4683888888888889","0.4683888888888889","0.6530416666666666","0.6530416666666666","0.6530416666666666","0.48080555555555554","0.48080555555555554","0.48080555555555554","0.6350972222222222","0.6350972222222222","0.6350972222222222","0.492375","0.492375","0.492375"
"3","0.6274027777777778","0.6274027777777778","0.6274027777777778","0.5289305555555556","0.5289305555555556","0.5289305555555556","0.6245","0.6245","0.6245","0.5229861111111112","0.5229861111111112","0.5229861111111112","0.4967638888888889","0.4967638888888889","0.4967638888888889","0.6405416666666667","0.6405416666666667","0.6405416666666667","0.5199027777777778","0.5199027777777778","0.5199027777777778","0.6315694444444444","0.6315694444444444","0.6315694444444444","0.5293055555555556","0.5293055555555556","0.5293055555555556"
"4","0.6366944444444445","0.6366944444444445","0.6366944444444445","0.5502222222222222","0.5502222222222222","0.5502222222222222","0.6357916666666666","0.6357916666666666","0.6357916666666666","0.547375","0.547375","0.547375","0.520375","0.520375","0.520375","0.6430694444444445","0.6430694444444445","0.6430694444444445","0.5469583333333333","0.5469583333333333","0.5469583333333333","0.637875","0.637875","0.637875","0.5448055555555555","0.5448055555555555","0.5448055555555555"
"5","0.6480833333333333","0.6480833333333333","0.6480833333333333","0.5681666666666667","0.5681666666666667","0.5681666666666667","0.646125","0.646125","0.646125","0.5720555555555555","0.5720555555555555","0.5720555555555555","0.5409444444444444","0.5409444444444444","0.5409444444444444","0.6534444444444445","0.6534444444444445","0.6534444444444445","0.5647361111111111","0.5647361111111111","0.5647361111111111","0.6491805555555555","0.6491805555555555","0.6491805555555555","0.5690138888888889","0.5690138888888889","0.5690138888888889"
"6","0.6674861111111111","0.6674861111111111","0.6674861111111111","0.59525","0.59525","0.59525","0.6653055555555556","0.6653055555555556","0.6653055555555556","0.5912638888888889","0.5912638888888889","0.5912638888888889","0.5635","0.5635","0.5635","0.6731666666666667","0.6731666666666667","0.6731666666666667","0.5921666666666666","0.5921666666666666","0.5921666666666666","0.6717222222222222","0.6717222222222222","0.6717222222222222","0.5890833333333333","0.5890833333333333","0.5890833333333333"
"7","0.6885694444444445","0.6885694444444445","0.6885694444444445","0.6194722222222222","0.6194722222222222","0.6194722222222222","0.6798472222222223","0.6798472222222223","0.6798472222222223","0.6176666666666667","0.6176666666666667","0.6176666666666667","0.5883194444444444","0.5883194444444444","0.5883194444444444","0.6928611111111111","0.6928611111111111","0.6928611111111111","0.6161944444444445","0.6161944444444445","0.6161944444444445","0.6911111111111111","0.6911111111111111","0.6911111111111111","0.6148333333333333","0.6148333333333333","0.6148333333333333"
"8","0.7111944444444445","0.7111944444444445","0.7111944444444445","0.6398333333333334","0.6398333333333334","0.6398333333333334","0.6965","0.6965","0.6965","0.638","0.638","0.638","0.6043888888888889","0.6043888888888889","0.6043888888888889","0.71225","0.71225","0.71225","0.6374444444444445","0.6374444444444445","0.6374444444444445","0.7082083333333333","0.7082083333333333","0.7082083333333333","0.6377777777777778","0.6377777777777778","0.6377777777777778"
"9","0.7282638888888889","0.7282638888888889","0.7282638888888889","0.6589722222222222","0.6589722222222222","0.6589722222222222","0.7136527777777778","0.7136527777777778","0.7136527777777778","0.6530416666666666","0.6530416666666666","0.6530416666666666","0.6244722222222222","0.6244722222222222","0.6244722222222222","0.7342916666666667","0.7342916666666667","0.7342916666666667","0.6547916666666667","0.6547916666666667","0.6547916666666667","0.7258472222222222","0.7258472222222222","0.7258472222222222","0.6579722222222222","0.6579722222222222","0.6579722222222222"
"10","0.7423055555555556","0.7423055555555556","0.7423055555555556","0.6764583333333334","0.6764583333333334","0.6764583333333334","0.7275277777777778","0.7275277777777778","0.7275277777777778","0.6690138888888889","0.6690138888888889","0.6690138888888889","0.6409583333333333","0.6409583333333333","0.6409583333333333","0.7514861111111111","0.7514861111111111","0.7514861111111111","0.67425","0.67425","0.67425","0.7433333333333333","0.7433333333333333","0.7433333333333333","0.676875","0.676875","0.676875"
