"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_mrr_at_k__MAX"
"11","","","","0.575958343534006","0.575958343534006","0.575958343534006","0.6640463089909818","0.6640463089909818","0.6640463089909818","0.5771342702027824","0.5771342702027824","0.5771342702027824","0.6550902903808488","0.6550902903808488","0.6550902903808488","0.5809490851246648","0.5809490851246648","0.5809490851246648","0.5425463065902392","0.5425463065902392","0.5425463065902392","0.6437500117586719","0.6437500117586719","0.6437500117586719","0.5725787150495583","0.5725787150495583","0.5725787150495583"
"12","","","","0.5907523259851668","0.5907523259851668","0.5907523259851668","0.6773564943604999","0.6773564943604999","0.6773564943604999","0.5920277885728412","0.5920277885728412","0.5920277885728412","0.671421309530735","0.671421309530735","0.671421309530735","0.5956088073783451","0.5956088073783451","0.5956088073783451","0.5553703806516197","0.5553703806516197","0.5553703806516197","","","","0.586333344883389","0.586333344883389","0.586333344883389"
"13","","","","0.6065879744854238","0.6065879744854238","0.6065879744854238","0.696252328104443","0.696252328104443","0.696252328104443","0.6053564927263392","0.6053564927263392","0.6053564927263392","0.6881875132719676","0.6881875132719676","0.6881875132719676","0.6157037159436279","0.6157037159436279","0.6157037159436279","0.5684791770858897","0.5684791770858897","0.5684791770858897","","","","0.6062592711912261","0.6062592711912261","0.6062592711912261"
"14","","","","0.6225486233532429","0.6225486233532429","0.6225486233532429","0.7102361252970165","0.7102361252970165","0.7102361252970165","0.6203217711846034","0.6203217711846034","0.6203217711846034","","","","0.6262824200292428","0.6262824200292428","0.6262824200292428","0.5843310302992661","0.5843310302992661","0.5843310302992661","","","","0.6193287160197893","0.6193287160197893","0.6193287160197893"
"15","","","","0.6342014012088378","0.6342014012088378","0.6342014012088378","","","","0.6331041787630982","0.6331041787630982","0.6331041787630982","","","","0.6382152910497454","0.6382152910497454","0.6382152910497454","0.597398160447677","0.597398160447677","0.597398160447677","","","","0.6326180680443844","0.6326180680443844","0.6326180680443844"
"16","","","","0.6462430684947306","0.6462430684947306","0.6462430684947306","","","","0.6478240869409508","0.6478240869409508","0.6478240869409508","","","","0.651055568728182","0.651055568728182","0.651055568728182","0.6104213086565335","0.6104213086565335","0.6104213086565335","","","","0.6431551054616769","0.6431551054616769","0.6431551054616769"
"17","","","","0.6604884389307764","0.6604884389307764","0.6604884389307764","","","","","","","","","","0.6618194577561485","0.6618194577561485","0.6618194577561485","0.6228819568951924","0.6228819568951924","0.6228819568951924","","","","0.6565254767239094","0.6565254767239094","0.6565254767239094"
"18","","","","0.6678310317231549","0.6678310317231549","0.6678310317231549","","","","","","","","","","0.673111124727461","0.673111124727461","0.673111124727461","0.6361689940757221","0.6361689940757221","0.6361689940757221","","","","0.6667523283958435","0.6667523283958435","0.6667523283958435"
"19","","","","0.6790949207941691","0.6790949207941691","0.6790949207941691","","","","","","","","","","0.6817916805744171","0.6817916805744171","0.6817916805744171","","","","","","","","",""
"20","","","","0.6899838101334042","0.6899838101334042","0.6899838101334042","","","","","","","","","","","","","","","","","","","","",""
