"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_scope_pred_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_scope_pred_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_scope_pred_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_scope_pred_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_scope_pred_acc__MAX"
"1","0.36780000361929116","0.36780000361929116","0.36780000361929116","0.24080530222528426","0.24080530222528426","0.24080530222528426","0.45566833604213003","0.45566833604213003","0.45566833604213003","0.36180580833118037","0.36180580833118037","0.36180580833118037"
"2","0.5844470774332156","0.5844470774332156","0.5844470774332156","0.4960217969323582","0.4960217969323582","0.4960217969323582","0.6493478167501852","0.6493478167501852","0.6493478167501852","0.5946525258844033","0.5946525258844033","0.5946525258844033"
"3","0.705693884908215","0.705693884908215","0.705693884908215","0.6662439374727791","0.6662439374727791","0.6662439374727791","0.7408080068132747","0.7408080068132747","0.7408080068132747","0.7197190288204487","0.7197190288204487","0.7197190288204487"
"4","0.7761266628131879","0.7761266628131879","0.7761266628131879","0.7621766935612645","0.7621766935612645","0.7621766935612645","0.7898529096314078","0.7898529096314078","0.7898529096314078","0.7833690111508075","0.7833690111508075","0.7833690111508075"
"5","0.8184236432955894","0.8184236432955894","0.8184236432955894","0.8160135203120182","0.8160135203120182","0.8160135203120182","0.8219786658313741","0.8219786658313741","0.8219786658313741","0.8199807196707128","0.8199807196707128","0.8199807196707128"
"6","0.8439319560610574","0.8439319560610574","0.8439319560610574","0.8448846172783262","0.8448846172783262","0.8448846172783262","0.8413281407472121","0.8413281407472121","0.8413281407472121","0.8431634964491814","0.8431634964491814","0.8431634964491814"
"7","0.8596220069211521","0.8596220069211521","0.8596220069211521","0.8623288327066195","0.8623288327066195","0.8623288327066195","0.8536371098109709","0.8536371098109709","0.8536371098109709","0.8562827696198915","0.8562827696198915","0.8562827696198915"
"8","0.8698794939728283","0.8698794939728283","0.8698794939728283","0.8732190809125071","0.8732190809125071","0.8732190809125071","0.8620948999032777","0.8620948999032777","0.8620948999032777","0.866567755398552","0.866567755398552","0.866567755398552"
"9","0.8779449906671404","0.8779449906671404","0.8779449906671404","0.8821332290466943","0.8821332290466943","0.8821332290466943","0.8687558660917282","0.8687558660917282","0.8687558660917282","0.8730298713799945","0.8730298713799945","0.8730298713799945"
"10","0.8836109609794168","0.8836109609794168","0.8836109609794168","0.8877527824500725","0.8877527824500725","0.8877527824500725","0.874202203005423","0.874202203005423","0.874202203005423","0.8791030947461607","0.8791030947461607","0.8791030947461607"
"11","0.88847855688163","0.88847855688163","0.88847855688163","0.8918707486349238","0.8918707486349238","0.8918707486349238","0.878477477826175","0.878477477826175","0.878477477826175","0.8829049028980857","0.8829049028980857","0.8829049028980857"
"12","0.8922796812740271","0.8922796812740271","0.8922796812740271","0.8953578294295423","0.8953578294295423","0.8953578294295423","0.8822816601238518","0.8822816601238518","0.8822816601238518","0.886759289668214","0.886759289668214","0.886759289668214"
"13","0.8946852736789825","0.8946852736789825","0.8946852736789825","0.8982680319412182","0.8982680319412182","0.8982680319412182","0.8852150766471137","0.8852150766471137","0.8852150766471137","0.888701115249268","0.888701115249268","0.888701115249268"
"14","0.8970959515813977","0.8970959515813977","0.8970959515813977","0.9003265301543074","0.9003265301543074","0.9003265301543074","","","","0.8908892139018865","0.8908892139018865","0.8908892139018865"
"15","","","","0.9024290573900653","0.9024290573900653","0.9024290573900653","","","","0.8931647966738749","0.8931647966738749","0.8931647966738749"
"16","","","","0.9037252093430455","0.9037252093430455","0.9037252093430455","","","","0.8943147574991133","0.8943147574991133","0.8943147574991133"
"17","","","","0.9051896032858485","0.9051896032858485","0.9051896032858485","","","","0.8959206800341813","0.8959206800341813","0.8959206800341813"
