"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_acc__MAX"
"1","0.4749394677064228","0.4749394677064228","0.4749394677064228","0.3666138327726474","0.3666138327726474","0.3666138327726474","0.38156909499996583","0.38156909499996583","0.38156909499996583","0.25176207203893414","0.25176207203893414","0.25176207203893414"
"2","0.6784623203095008","0.6784623203095008","0.6784623203095008","0.6161480379852877","0.6161480379852877","0.6161480379852877","0.6077352547713916","0.6077352547713916","0.6077352547713916","0.5229301477379219","0.5229301477379219","0.5229301477379219"
"3","0.7665505289579269","0.7665505289579269","0.7665505289579269","0.742567176931026","0.742567176931026","0.742567176931026","0.7274059532675532","0.7274059532675532","0.7274059532675532","0.6927860473981643","0.6927860473981643","0.6927860473981643"
"4","0.8123043955905027","0.8123043955905027","0.8123043955905027","0.8029013964819672","0.8029013964819672","0.8029013964819672","0.7972505260478219","0.7972505260478219","0.7972505260478219","0.7813941079554496","0.7813941079554496","0.7813941079554496"
"5","0.8409010320057516","0.8409010320057516","0.8409010320057516","0.8347843746713886","0.8347843746713886","0.8347843746713886","0.8353467778465905","0.8353467778465905","0.8353467778465905","0.8306909614556092","0.8306909614556092","0.8306909614556092"
"6","0.8572019539678236","0.8572019539678236","0.8572019539678236","0.8546731690906912","0.8546731690906912","0.8546731690906912","0.8583505441637551","0.8583505441637551","0.8583505441637551","0.8563994525702986","0.8563994525702986","0.8563994525702986"
"7","0.8675775906019874","0.8675775906019874","0.8675775906019874","0.8680947007768539","0.8680947007768539","0.8680947007768539","0.8725527316701971","0.8725527316701971","0.8725527316701971","0.8723593040040817","0.8723593040040817","0.8723593040040817"
"8","0.8756766665685364","0.8756766665685364","0.8756766665685364","0.876627201824941","0.876627201824941","0.876627201824941","0.8818462943264394","0.8818462943264394","0.8818462943264394","0.8819731732631155","0.8819731732631155","0.8819731732631155"
"9","0.8814451209766608","0.8814451209766608","0.8814451209766608","0.8819008766517207","0.8819008766517207","0.8819008766517207","0.8877582269206001","0.8877582269206001","0.8877582269206001","0.8889159353482298","0.8889159353482298","0.8889159353482298"
"10","0.8854720051096828","0.8854720051096828","0.8854720051096828","0.8871129294658635","0.8871129294658635","0.8871129294658635","0.893025432066246","0.893025432066246","0.893025432066246","0.8936494618714126","0.8936494618714126","0.8936494618714126"
"11","0.8889005472828911","0.8889005472828911","0.8889005472828911","0.8907104930280051","0.8907104930280051","0.8907104930280051","0.896497942823745","0.896497942823745","0.896497942823745","0.8979323552909797","0.8979323552909797","0.8979323552909797"
"12","0.8920984999717174","0.8920984999717174","0.8920984999717174","0.892564522921902","0.892564522921902","0.892564522921902","0.8990193071947428","0.8990193071947428","0.8990193071947428","0.9008285840137845","0.9008285840137845","0.9008285840137845"
