"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_scope_pred_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_scope_pred_acc__MAX"
"13","0.8937886733788518","0.8937886733788518","0.8937886733788518","0.8954307040744564","0.8954307040744564","0.8954307040744564","0.9015845268615028","0.9015845268615028","0.9015845268615028","0.9032486533233912","0.9032486533233912","0.9032486533233912"
"14","0.8959863822838625","0.8959863822838625","0.8959863822838625","0.8969059127223961","0.8969059127223961","0.8969059127223961","0.9036137278989564","0.9036137278989564","0.9036137278989564","0.9049507498269488","0.9049507498269488","0.9049507498269488"
"15","0.8978367323639418","0.8978367323639418","0.8978367323639418","0.8988846874874101","0.8988846874874101","0.8988846874874101","0.904974993303354","0.904974993303354","0.904974993303354","0.9064294011521731","0.9064294011521731","0.9064294011521731"
"16","0.8991315836325694","0.8991315836325694","0.8991315836325694","0.8990768721795918","0.8990768721795918","0.8990768721795918","0.9059709131030849","0.9059709131030849","0.9059709131030849","0.9075149105251623","0.9075149105251623","0.9075149105251623"
"17","0.9000217449151637","0.9000217449151637","0.9000217449151637","0.8998140204096238","0.8998140204096238","0.8998140204096238","0.9074184027366411","0.9074184027366411","0.9074184027366411","0.9080531524061229","0.9080531524061229","0.9080531524061229"
"18","0.9011992035570598","0.9011992035570598","0.9011992035570598","0.9009096357493297","0.9009096357493297","0.9009096357493297","0.9075797468621192","0.9075797468621192","0.9075797468621192","0.909005161882937","0.909005161882937","0.909005161882937"
"19","0.9021523988351721","0.9021523988351721","0.9021523988351721","0.9015574405976351","0.9015574405976351","0.9015574405976351","0.9087095892864724","0.9087095892864724","0.9087095892864724","0.9090337507391697","0.9090337507391697","0.9090337507391697"
"20","0.9018964734558333","0.9018964734558333","0.9018964734558333","0.9017479956179358","0.9017479956179358","0.9017479956179358","","","","0.9094911011643366","0.9094911011643366","0.9094911011643366"
"21","0.9025523994868215","0.9025523994868215","0.9025523994868215","0.9026605603562923","0.9026605603562923","0.9026605603562923","","","","0.9106269190218911","0.9106269190218911","0.9106269190218911"
"22","","","","0.9019473960456929","0.9019473960456929","0.9019473960456929","","","","0.9106727736822204","0.9106727736822204","0.9106727736822204"
"23","","","","0.9030014566258899","0.9030014566258899","0.9030014566258899","","","","0.909657047180344","0.909657047180344","0.909657047180344"
"24","","","","0.9017538885061973","0.9017538885061973","0.9017538885061973","","","","0.9108620115599025","0.9108620115599025","0.9108620115599025"
"25","","","","","","","","","","0.9110024099082361","0.9110024099082361","0.9110024099082361"
