"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_base - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_base - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_total_loss__MAX"
"11","1.247356555196974","1.247356555196974","1.247356555196974","1.1132210365401374","1.1132210365401374","1.1132210365401374","0.7248198717170291","0.7248198717170291","0.7248198717170291","0.7040848574638366","0.7040848574638366","0.7040848574638366","0.07915517474793725","0.07915517474793725","0.07915517474793725","1.1292467550436656","1.1292467550436656","1.1292467550436656","1.0162916764948102","1.0162916764948102","1.0162916764948102","1.3997011849615308","1.3997011849615308","1.3997011849615308","1.2780435378551482","1.2780435378551482","1.2780435378551482"
"12","1.1978532786104414","1.1978532786104414","1.1978532786104414","1.0758099863794115","1.0758099863794115","1.0758099863794115","0.6919196537865533","0.6919196537865533","0.6919196537865533","0.6710133965545231","0.6710133965545231","0.6710133965545231","0.07291934071232875","0.07291934071232875","0.07291934071232875","1.0784404797554017","1.0784404797554017","1.0784404797554017","0.9792820105022855","0.9792820105022855","0.9792820105022855","1.3528056263923645","1.3528056263923645","1.3528056263923645","1.2325940160221525","1.2325940160221525","1.2325940160221525"
"13","1.1523564137882656","1.1523564137882656","1.1523564137882656","1.044708265542984","1.044708265542984","1.044708265542984","0.6631367894146177","0.6631367894146177","0.6631367894146177","0.640682426293691","0.640682426293691","0.640682426293691","0.0678762443256047","0.0678762443256047","0.0678762443256047","1.0359970982339648","1.0359970982339648","1.0359970982339648","0.9446248331599766","0.9446248331599766","0.9446248331599766","1.3084566763771905","1.3084566763771905","1.3084566763771905","1.197761997964647","1.197761997964647","1.197761997964647"
"14","1.1145046741167703","1.1145046741167703","1.1145046741167703","1.0152057678699493","1.0152057678699493","1.0152057678699493","0.6350136770274905","0.6350136770274905","0.6350136770274905","0.6134857802788417","0.6134857802788417","0.6134857802788417","0.06385763350046343","0.06385763350046343","0.06385763350046343","0.9990484391583336","0.9990484391583336","0.9990484391583336","0.9194365435971155","0.9194365435971155","0.9194365435971155","1.2731519605318706","1.2731519605318706","1.2731519605318706","1.171776763147778","1.171776763147778","1.171776763147778"
"15","1.0791817473305596","1.0791817473305596","1.0791817473305596","0.9901839510599773","0.9901839510599773","0.9901839510599773","0.611771461420589","0.611771461420589","0.611771461420589","0.591207075158755","0.591207075158755","0.591207075158755","0.059448247795303666","0.059448247795303666","0.059448247795303666","0.9664857150713603","0.9664857150713603","0.9664857150713603","0.892259199195438","0.892259199195438","0.892259199195438","1.2339090861214532","1.2339090861214532","1.2339090861214532","1.1401471175617641","1.1401471175617641","1.1401471175617641"
"16","1.0511301984522077","1.0511301984522077","1.0511301984522077","0.9690305197503831","0.9690305197503831","0.9690305197503831","0.5882554895877838","0.5882554895877838","0.5882554895877838","0.5687329224745432","0.5687329224745432","0.5687329224745432","0.05663055893033743","0.05663055893033743","0.05663055893033743","0.9396931633154552","0.9396931633154552","0.9396931633154552","0.8725192640357547","0.8725192640357547","0.8725192640357547","1.2064158114592234","1.2064158114592234","1.2064158114592234","1.1173443097273508","1.1173443097273508","1.1173443097273508"
"17","1.022668521642685","1.022668521642685","1.022668521642685","0.9463335863219368","0.9463335863219368","0.9463335863219368","0.5685225954850515","0.5685225954850515","0.5685225954850515","0.5479126943482293","0.5479126943482293","0.5479126943482293","0.05257195293654998","0.05257195293654998","0.05257195293654998","0.9130853030151791","0.9130853030151791","0.9130853030151791","0.8527169908947415","0.8527169908947415","0.8527169908947415","1.177471166027917","1.177471166027917","1.177471166027917","1.094990500556098","1.094990500556098","1.094990500556098"
"18","1.0000196413464015","1.0000196413464015","1.0000196413464015","0.9288693897194332","0.9288693897194332","0.9288693897194332","0.5491995275815328","0.5491995275815328","0.5491995275815328","0.5295130030446582","0.5295130030446582","0.5295130030446582","0.05006214600801468","0.05006214600801468","0.05006214600801468","0.8918127336502075","0.8918127336502075","0.8918127336502075","0.8327355750136906","0.8327355750136906","0.8327355750136906","1.150746582084232","1.150746582084232","1.150746582084232","1.0780907661649917","1.0780907661649917","1.0780907661649917"
"19","0.9788428224722544","0.9788428224722544","0.9788428224722544","0.9127799943288167","0.9127799943288167","0.9127799943288167","0.5328220060533947","0.5328220060533947","0.5328220060533947","0.5140951064295239","0.5140951064295239","0.5140951064295239","0.04701021968324979","0.04701021968324979","0.04701021968324979","0.869395710600747","0.869395710600747","0.869395710600747","0.8126651430659824","0.8126651430659824","0.8126651430659824","1.1292813530233172","1.1292813530233172","1.1292813530233172","1.0609956199328106","1.0609956199328106","1.0609956199328106"
"20","0.9608575072023604","0.9608575072023604","0.9608575072023604","0.8959152708848317","0.8959152708848317","0.8959152708848317","0.5178093639744653","0.5178093639744653","0.5178093639744653","","","","0.045129183947212166","0.045129183947212166","0.045129183947212166","0.8520832720067766","0.8520832720067766","0.8520832720067766","0.7990473120742374","0.7990473120742374","0.7990473120742374","","","","1.0429242050912646","1.0429242050912646","1.0429242050912646"
"21","0.9428934275309245","0.9428934275309245","0.9428934275309245","","","","0.5038369802104102","0.5038369802104102","0.5038369802104102","","","","0.04300363843556908","0.04300363843556908","0.04300363843556908","0.8362179190582699","0.8362179190582699","0.8362179190582699","0.782735139740838","0.782735139740838","0.782735139740838","","","","1.026415288925171","1.026415288925171","1.026415288925171"
"22","0.927864529132843","0.927864529132843","0.927864529132843","","","","0.48996397903230454","0.48996397903230454","0.48996397903230454","","","","","","","","","","0.771983945051829","0.771983945051829","0.771983945051829","","","","1.0128448897997537","1.0128448897997537","1.0128448897997537"
"23","0.9107265455987719","0.9107265455987719","0.9107265455987719","","","","0.47627491364214153","0.47627491364214153","0.47627491364214153","","","","","","","","","","0.7570367118252648","0.7570367118252648","0.7570367118252648","","","","1.0000127549436357","1.0000127549436357","1.0000127549436357"
"24","","","","","","","","","","","","","","","","","","","0.7457976933320364","0.7457976933320364","0.7457976933320364","","","","0.9851214000384013","0.9851214000384013","0.9851214000384013"
"25","","","","","","","","","","","","","","","","","","","","","","","","","0.977967993206448","0.977967993206448","0.977967993206448"
