"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_mrr_at_k__MAX"
"1","0.6454351966381073","0.6454351966381073","0.6454351966381073","0.5229537138673994","0.5229537138673994","0.5229537138673994","0.6349444549216164","0.6349444549216164","0.6349444549216164","0.5225185288786888","0.5225185288786888","0.5225185288786888"
"2","0.6575463071664175","0.6575463071664175","0.6575463071664175","0.5712407509353425","0.5712407509353425","0.5712407509353425","0.6427222332292133","0.6427222332292133","0.6427222332292133","0.5720277887913916","0.5720277887913916","0.5720277887913916"
"3","0.6474074178801642","0.6474074178801642","0.6474074178801642","0.5902592706150479","0.5902592706150479","0.5902592706150479","0.6483611234294043","0.6483611234294043","0.6483611234294043","0.5470833436151346","0.5470833436151346","0.5470833436151346"
"4","0.627925937268469","0.627925937268469","0.627925937268469","0.569425936765141","0.569425936765141","0.569425936765141","0.654564825826221","0.654564825826221","0.654564825826221","0.5778055658539136","0.5778055658539136","0.5778055658539136"
"5","0.6500277894735337","0.6500277894735337","0.6500277894735337","0.612879640645451","0.612879640645451","0.612879640645451","0.6436389005978902","0.6436389005978902","0.6436389005978902","0.5808888997303115","0.5808888997303115","0.5808888997303115"
"6","0.6592129749854406","0.6592129749854406","0.6592129749854406","0.6109259368711047","0.6109259368711047","0.6109259368711047","0.6786389011542002","0.6786389011542002","0.6786389011542002","0.5997314920690324","0.5997314920690324","0.5997314920690324"
"7","0.6795740855932235","0.6795740855932235","0.6795740855932235","0.6375000108016862","0.6375000108016862","0.6375000108016862","0.6430648266341951","0.6430648266341951","0.6430648266341951","0.6390648268196318","0.6390648268196318","0.6390648268196318"
"8","0.6786389005184174","0.6786389005184174","0.6786389005184174","0.6382037148475647","0.6382037148475647","0.6382037148475647","0.6406851964129342","0.6406851964129342","0.6406851964129342","0.6398611224227482","0.6398611224227482","0.6398611224227482"
"9","0.6764444565640555","0.6764444565640555","0.6764444565640555","0.6419537153376473","0.6419537153376473","0.6419537153376473","0.6786574188603295","0.6786574188603295","0.6786574188603295","0.6186389002402624","0.6186389002402624","0.6186389002402624"
"10","0.6692407523790995","0.6692407523790995","0.6692407523790995","0.6602314927048153","0.6602314927048153","0.6602314927048153","0.6725648281839158","0.6725648281839158","0.6725648281839158","0.6645185302760866","0.6645185302760866","0.6645185302760866"
"11","0.684055567185084","0.684055567185084","0.684055567185084","0.6495000109805001","0.6495000109805001","0.6495000109805001","0.6521111229260762","0.6521111229260762","0.6521111229260762","0.6596203816201952","0.6596203816201952","0.6596203816201952"
"12","0.6727592714760039","0.6727592714760039","0.6727592714760039","0.6431481592257817","0.6431481592257817","0.6431481592257817","0.6362870483001073","0.6362870483001073","0.6362870483001073","0.6586203828520245","0.6586203828520245","0.6586203828520245"
"13","0.6628240850104226","0.6628240850104226","0.6628240850104226","0.6581018633445104","0.6581018633445104","0.6581018633445104","0.6369537149800195","0.6369537149800195","0.6369537149800195","0.6630185305542416","0.6630185305542416","0.6630185305542416"
"14","0.6681111224227482","0.6681111224227482","0.6681111224227482","0.6554444560342365","0.6554444560342365","0.6554444560342365","","","","0.6389722329775492","0.6389722329775492","0.6389722329775492"
"15","","","","0.6462777893808153","0.6462777893808153","0.6462777893808153","","","","0.6460648264884948","0.6460648264884948","0.6460648264884948"
"16","","","","0.6404814924928877","0.6404814924928877","0.6404814924928877","","","","0.6525463077227275","0.6525463077227275","0.6525463077227275"
"17","","","","0.6459907533725103","0.6459907533725103","0.6459907533725103","","","","0.6449444561799367","0.6449444561799367","0.6449444561799367"
