"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_total_loss__MAX"
"11","","","","1.6145045068528918","1.6145045068528918","1.6145045068528918","1.6136066072252062","1.6136066072252062","1.6136066072252062","1.4578202773200142","1.4578202773200142","1.4578202773200142","1.5164898706012302","1.5164898706012302","1.5164898706012302","1.3549728954633078","1.3549728954633078","1.3549728954633078","0.3543197197053168","0.3543197197053168","0.3543197197053168","1.0749447637928857","1.0749447637928857","1.0749447637928857","1.0503573361237843","1.0503573361237843","1.0503573361237843"
"12","","","","1.5489024840460883","1.5489024840460883","1.5489024840460883","1.5417480654186673","1.5417480654186673","1.5417480654186673","1.3947556398709615","1.3947556398709615","1.3947556398709615","1.4426728010177612","1.4426728010177612","1.4426728010177612","1.2972225835058424","1.2972225835058424","1.2972225835058424","0.33256814774539734","0.33256814774539734","0.33256814774539734","","","","0.9972817038430108","0.9972817038430108","0.9972817038430108"
"13","","","","1.4880522156821356","1.4880522156821356","1.4880522156821356","1.4771125050650702","1.4771125050650702","1.4771125050650702","1.3427822538481817","1.3427822538481817","1.3427822538481817","1.3776901747385661","1.3776901747385661","1.3776901747385661","1.2419839827219645","1.2419839827219645","1.2419839827219645","0.3068572739495171","0.3068572739495171","0.3068572739495171","","","","0.9476714146667057","0.9476714146667057","0.9476714146667057"
"14","","","","1.4392866691483392","1.4392866691483392","1.4392866691483392","1.4201837970415752","1.4201837970415752","1.4201837970415752","1.2942778239250183","1.2942778239250183","1.2942778239250183","","","","1.1999841447406345","1.1999841447406345","1.1999841447406345","0.2833313028944863","0.2833313028944863","0.2833313028944863","","","","0.8989090362124973","0.8989090362124973","0.8989090362124973"
"15","","","","1.3927521518071493","1.3927521518071493","1.3927521518071493","","","","1.2522298237747616","1.2522298237747616","1.2522298237747616","","","","1.154777245812946","1.154777245812946","1.154777245812946","0.26221669567293593","0.26221669567293593","0.26221669567293593","","","","0.8596483294169108","0.8596483294169108","0.8596483294169108"
"16","","","","1.357894271744622","1.357894271744622","1.357894271744622","","","","1.2155149985684288","1.2155149985684288","1.2155149985684288","","","","1.118981702990002","1.118981702990002","1.118981702990002","0.24188594927390417","0.24188594927390417","0.24188594927390417","","","","0.8250430767801072","0.8250430767801072","0.8250430767801072"
"17","","","","1.3220666163762411","1.3220666163762411","1.3220666163762411","","","","","","","","","","1.0855888086160024","1.0855888086160024","1.0855888086160024","0.2245165184835593","0.2245165184835593","0.2245165184835593","","","","0.7888037935892741","0.7888037935892741","0.7888037935892741"
"18","","","","1.2879627575874328","1.2879627575874328","1.2879627575874328","","","","","","","","","","1.053835544930564","1.053835544930564","1.053835544930564","0.20897038918071323","0.20897038918071323","0.20897038918071323","","","","0.758612617943022","0.758612617943022","0.758612617943022"
"19","","","","1.2640880832407209","1.2640880832407209","1.2640880832407209","","","","","","","","","","1.027699403948254","1.027699403948254","1.027699403948254","","","","","","","","",""
"20","","","","1.2372148723337386","1.2372148723337386","1.2372148723337386","","","","","","","","","","","","","","","","","","","","",""
