"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_base - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_base - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_mrr_at_k__MAX"
"11","0.6096250128414896","0.6096250128414896","0.6096250128414896","0.5862106605039703","0.5862106605039703","0.5862106605039703","0.5942893644240167","0.5942893644240167","0.5942893644240167","0.5754791785875957","0.5754791785875957","0.5754791785875957","0.5748472344941563","0.5748472344941563","0.5748472344941563","0.6031134386824237","0.6031134386824237","0.6031134386824237","0.5835115861164198","0.5835115861164198","0.5835115861164198","0.6123194571667248","0.6123194571667248","0.6123194571667248","0.5830995497504871","0.5830995497504871","0.5830995497504871"
"12","0.6136018648313152","0.6136018648313152","0.6136018648313152","0.5920393646558125","0.5920393646558125","0.5920393646558125","0.6001435307761034","0.6001435307761034","0.6001435307761034","0.581324086315102","0.581324086315102","0.581324086315102","0.5814282527565956","0.5814282527565956","0.5814282527565956","0.6101805686884456","0.6101805686884456","0.6101805686884456","0.5900856607688798","0.5900856607688798","0.5900856607688798","0.6164676056206226","0.6164676056206226","0.6164676056206226","0.5891736234194702","0.5891736234194702","0.5891736234194702"
"13","0.6199606613152557","0.6199606613152557","0.6199606613152557","0.5965995494425297","0.5965995494425297","0.5965995494425297","0.6036365869773759","0.6036365869773759","0.6036365869773759","0.586696771889925","0.586696771889925","0.586696771889925","0.587884272015757","0.587884272015757","0.587884272015757","0.6155162167814043","0.6155162167814043","0.6155162167814043","0.5980995500518216","0.5980995500518216","0.5980995500518216","0.6226250130699741","0.6226250130699741","0.6226250130699741","0.5958472345835633","0.5958472345835633","0.5958472345835633"
"14","0.623581031670173","0.623581031670173","0.623581031670173","0.6033472352491485","0.6033472352491485","0.6033472352491485","0.6082569566700193","0.6082569566700193","0.6082569566700193","0.5912754755020142","0.5912754755020142","0.5912754755020142","0.5959166790876124","0.5959166790876124","0.5959166790876124","0.6186990872157945","0.6186990872157945","0.6186990872157945","0.6004236240055826","0.6004236240055826","0.6004236240055826","0.6282245503266652","0.6282245503266652","0.6282245503266652","0.6015995503664017","0.6015995503664017","0.6015995503664017"
"15","0.6293750137554275","0.6293750137554275","0.6293750137554275","0.608875013868014","0.608875013868014","0.608875013868014","0.614043993939956","0.614043993939956","0.614043993939956","0.5979051049914625","0.5979051049914625","0.5979051049914625","0.6011736241049237","0.6011736241049237","0.6011736241049237","0.6252685321503215","0.6252685321503215","0.6252685321503215","0.6059629758993784","0.6059629758993784","0.6059629758993784","0.6321226989428202","0.6321226989428202","0.6321226989428202","0.6075324203471343","0.6075324203471343","0.6075324203471343"
"16","0.6345694581270218","0.6345694581270218","0.6345694581270218","0.6147453833884663","0.6147453833884663","0.6147453833884663","0.6207777908543746","0.6207777908543746","0.6207777908543746","0.6004375132686562","0.6004375132686562","0.6004375132686562","0.6071713097029262","0.6071713097029262","0.6071713097029262","0.6295115873681174","0.6295115873681174","0.6295115873681174","0.6098009389208423","0.6098009389208423","0.6098009389208423","0.6378680688871278","0.6378680688871278","0.6378680688871278","0.6113078834712505","0.6113078834712505","0.6113078834712505"
"17","0.6397708471417427","0.6397708471417427","0.6397708471417427","0.6203703837527169","0.6203703837527169","0.6203703837527169","0.6249838100009495","0.6249838100009495","0.6249838100009495","0.6050578838454352","0.6050578838454352","0.6050578838454352","0.6127453840772311","0.6127453840772311","0.6127453840772311","0.634414365440607","0.634414365440607","0.634414365440607","0.6170277910033862","0.6170277910033862","0.6170277910033862","0.6439259401957194","0.6439259401957194","0.6439259401957194","0.6160810317860709","0.6160810317860709","0.6160810317860709"
"18","0.6458588101069133","0.6458588101069133","0.6458588101069133","0.6227801064054171","0.6227801064054171","0.6227801064054171","0.6300092725025283","0.6300092725025283","0.6300092725025283","0.6106458466847737","0.6106458466847737","0.6106458466847737","0.6200162166688177","0.6200162166688177","0.6200162166688177","0.6399514027966393","0.6399514027966393","0.6399514027966393","0.6186250137554274","0.6186250137554274","0.6186250137554274","0.649641217864222","0.649641217864222","0.649641217864222","0.6209398284355799","0.6209398284355799","0.6209398284355799"
"19","0.6515810323225127","0.6515810323225127","0.6515810323225127","0.6289375136825773","0.6289375136825773","0.6289375136825773","0.6347453841964403","0.6347453841964403","0.6347453841964403","0.6129560323258241","0.6129560323258241","0.6129560323258241","0.6269490880436367","0.6269490880436367","0.6269490880436367","0.6448449212312698","0.6448449212312698","0.6448449212312698","0.6240740872886446","0.6240740872886446","0.6240740872886446","0.6539930696421199","0.6539930696421199","0.6539930696421199","0.626731494890319","0.626731494890319","0.626731494890319"
"20","0.6568310328655773","0.6568310328655773","0.6568310328655773","0.632298624879784","0.632298624879784","0.632298624879784","0.6390949211782879","0.6390949211782879","0.6390949211782879","","","","0.634020847413275","0.634020847413275","0.634020847413275","0.6503680695030424","0.6503680695030424","0.6503680695030424","0.6274074207643668","0.6274074207643668","0.6274074207643668","","","","0.6302847356067763","0.6302847356067763","0.6302847356067763"
"21","0.6627338110274739","0.6627338110274739","0.6627338110274739","","","","0.6437361253566212","0.6437361253566212","0.6437361253566212","","","","0.6413449220326212","0.6413449220326212","0.6413449220326212","0.6553611255122556","0.6553611255122556","0.6553611255122556","0.6327060325278177","0.6327060325278177","0.6327060325278177","","","","0.6334791799419456","0.6334791799419456","0.6334791799419456"
"22","0.666849551598231","0.666849551598231","0.666849551598231","","","","0.6490555693507194","0.6490555693507194","0.6490555693507194","","","","","","","","","","0.634483810669846","0.634483810669846","0.634483810669846","","","","0.6376389033926858","0.6376389033926858","0.6376389033926858"
"23","0.6712014028496213","0.6712014028496213","0.6712014028496213","","","","0.6540810336338149","0.6540810336338149","0.6540810336338149","","","","","","","","","","0.6377199218405618","0.6377199218405618","0.6377199218405618","","","","0.6432870514856445","0.6432870514856445","0.6432870514856445"
"24","","","","","","","","","","","","","","","","","","","0.6426805699931251","0.6426805699931251","0.6426805699931251","","","","0.646231495598952","0.646231495598952","0.646231495598952"
"25","","","","","","","","","","","","","","","","","","","","","","","","","0.6489398289587762","0.6489398289587762","0.6489398289587762"
