"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - valid_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - valid_mrr_at_k__MAX"
"1","0.6119166780842675","0.6119166780842675","0.6119166780842675","0.5369259360366397","0.5369259360366397","0.5369259360366397","0.611018530315823","0.611018530315823","0.611018530315823","0.5308240837123659","0.5308240837123659","0.5308240837123659"
"2","0.6257592709859212","0.6257592709859212","0.6257592709859212","0.5965000115103192","0.5965000115103192","0.5965000115103192","0.6256481601397197","0.6256481601397197","0.6256481601397197","0.5928426048225827","0.5928426048225827","0.5928426048225827"
"3","0.6353703834745619","0.6353703834745619","0.6353703834745619","0.618953716357549","0.618953716357549","0.618953716357549","0.634388900756836","0.634388900756836","0.634388900756836","0.6151203823884328","0.6151203823884328","0.6151203823884328"
"4","0.6444537154833476","0.6444537154833476","0.6444537154833476","0.6353611236943139","0.6353611236943139","0.6353611236943139","0.6424629752106137","0.6424629752106137","0.6424629752106137","0.6260092714362674","0.6260092714362674","0.6260092714362674"
"5","0.6525555679268307","0.6525555679268307","0.6525555679268307","0.6451111239592234","0.6451111239592234","0.6451111239592234","0.6514629754755232","0.6514629754755232","0.6514629754755232","0.6444074201318952","0.6444074201318952","0.6444074201318952"
"6","0.6570833455986447","0.6570833455986447","0.6570833455986447","0.6521481610006756","0.6521481610006756","0.6521481610006756","0.6575277899901072","0.6575277899901072","0.6575277899901072","0.6482963090472751","0.6482963090472751","0.6482963090472751"
"7","0.6590185314019521","0.6590185314019521","0.6590185314019521","0.6584814934995439","0.6584814934995439","0.6584814934995439","0.6628796425925361","0.6628796425925361","0.6628796425925361","0.6570740872489081","0.6570740872489081","0.6570740872489081"
"8","0.6663426055908203","0.6663426055908203","0.6663426055908203","0.6666851986249288","0.6666851986249288","0.6666851986249288","0.6702129753695594","0.6702129753695594","0.6702129753695594","0.6628240868515438","0.6628240868515438","0.6628240868515438"
"9","0.6685277903609805","0.6685277903609805","0.6685277903609805","0.6678240883085462","0.6678240883085462","0.6678240883085462","0.6726203823619419","0.6726203823619419","0.6726203823619419","0.6692314938969083","0.6692314938969083","0.6692314938969083"
"10","0.669722234275606","0.669722234275606","0.669722234275606","0.6733240870899624","0.6733240870899624","0.6733240870899624","0.6752870500352648","0.6752870500352648","0.6752870500352648","0.6664166790379418","0.6664166790379418","0.6664166790379418"
